RecordType,StartTime,Demand
VD,2024-01-01T21:35:00Z,27099
VD,2024-01-01T21:40:00Z,27011
VD,2024-01-01T21:45:00Z,26978
VD,2024-01-01T21:50:00Z,26828
VD,2024-01-01T21:55:00Z,26564
VD,2024-01-01T22:00:00Z,26165
VD,2024-01-01T22:05:00Z,25996
VD,2024-01-01T22:10:00Z,25894
VD,2024-01-01T22:15:00Z,25826
VD,2024-01-01T22:20:00Z,25868
VD,2024-01-01T22:25:00Z,25972
VD,2024-01-01T22:30:00Z,26076
VD,2024-01-01T22:35:00Z,25904
VD,2024-01-01T22:40:00Z,25939
VD,2024-01-01T22:45:00Z,25975
VD,2024-01-01T22:50:00Z,25913
VD,2024-01-01T22:55:00Z,25703
VD,2024-01-01T23:00:00Z,25625
VD,2024-01-01T23:05:00Z,26115
VD,2024-01-01T23:10:00Z,26104
VD,2024-01-01T23:15:00Z,26164
VD,2024-01-01T23:20:00Z,26229
VD,2024-01-01T23:25:00Z,26239
VD,2024-01-01T23:30:00Z,26188
VD,2024-01-01T23:35:00Z,25983
VD,2024-01-01T23:40:00Z,25899
VD,2024-01-01T23:45:00Z,25893
VD,2024-01-01T23:50:00Z,25833
VD,2024-01-01T23:55:00Z,25637
VD,2024-01-02T00:00:00Z,25208
VD,2024-01-02T00:05:00Z,25257
VD,2024-01-02T00:10:00Z,25292
VD,2024-01-02T00:15:00Z,25256
VD,2024-01-02T00:20:00Z,25225
VD,2024-01-02T00:25:00Z,25142
VD,2024-01-02T00:30:00Z,25261
VD,2024-01-02T00:35:00Z,25408
VD,2024-01-02T00:40:00Z,25415
VD,2024-01-02T00:45:00Z,25347
VD,2024-01-02T00:50:00Z,25376
VD,2024-01-02T00:55:00Z,25357
VD,2024-01-02T01:00:00Z,25529
VD,2024-01-02T01:05:00Z,25747
VD,2024-01-02T01:10:00Z,25858
VD,2024-01-02T01:15:00Z,25918
VD,2024-01-02T01:20:00Z,25944
VD,2024-01-02T01:25:00Z,25858
VD,2024-01-02T01:30:00Z,25898
VD,2024-01-02T01:35:00Z,25894
VD,2024-01-02T01:40:00Z,25924
VD,2024-01-02T01:45:00Z,25840
VD,2024-01-02T01:50:00Z,25833
VD,2024-01-02T01:55:00Z,25667
VD,2024-01-02T02:00:00Z,25412
VD,2024-01-02T02:05:00Z,25306
VD,2024-01-02T02:10:00Z,25218
VD,2024-01-02T02:15:00Z,25241
VD,2024-01-02T02:20:00Z,25162
VD,2024-01-02T02:25:00Z,25124
VD,2024-01-02T02:30:00Z,25029
VD,2024-01-02T02:35:00Z,24885
VD,2024-01-02T02:40:00Z,24830
VD,2024-01-02T02:45:00Z,24907
VD,2024-01-02T02:50:00Z,24894
VD,2024-01-02T02:55:00Z,24805
VD,2024-01-02T03:00:00Z,24745
VD,2024-01-02T03:05:00Z,24738
VD,2024-01-02T03:10:00Z,24843
VD,2024-01-02T03:15:00Z,24743
VD,2024-01-02T03:20:00Z,24690
VD,2024-01-02T03:25:00Z,24574
VD,2024-01-02T03:30:00Z,24633
VD,2024-01-02T03:35:00Z,24635
VD,2024-01-02T03:40:00Z,24624
VD,2024-01-02T03:45:00Z,24585
VD,2024-01-02T03:50:00Z,24615
VD,2024-01-02T03:55:00Z,24549
VD,2024-01-02T04:00:00Z,24397
VD,2024-01-02T04:05:00Z,24455
VD,2024-01-02T04:10:00Z,24466
VD,2024-01-02T04:15:00Z,24442
VD,2024-01-02T04:20:00Z,24402
VD,2024-01-02T04:25:00Z,24453
VD,2024-01-02T04:30:00Z,24445
VD,2024-01-02T04:35:00Z,24429
VD,2024-01-02T04:40:00Z,24416
VD,2024-01-02T04:45:00Z,24383
VD,2024-01-02T04:50:00Z,24325
VD,2024-01-02T04:55:00Z,24161
VD,2024-01-02T05:00:00Z,24086
VD,2024-01-02T05:05:00Z,24020
VD,2024-01-02T05:10:00Z,23968
VD,2024-01-02T05:15:00Z,24002
VD,2024-01-02T05:20:00Z,24050
VD,2024-01-02T05:25:00Z,23957
VD,2024-01-02T05:30:00Z,23930
VD,2024-01-02T05:35:00Z,24070
VD,2024-01-02T05:40:00Z,24202
VD,2024-01-02T05:45:00Z,24480
VD,2024-01-02T05:50:00Z,24637
VD,2024-01-02T05:55:00Z,24953
VD,2024-01-02T06:00:00Z,25731
VD,2024-01-02T06:05:00Z,25847
VD,2024-01-02T06:10:00Z,25811
VD,2024-01-02T06:15:00Z,25748
VD,2024-01-02T06:20:00Z,25753
VD,2024-01-02T06:25:00Z,25840
VD,2024-01-02T06:30:00Z,25899
VD,2024-01-02T06:35:00Z,26244
VD,2024-01-02T06:40:00Z,26500
VD,2024-01-02T06:45:00Z,26745
VD,2024-01-02T06:50:00Z,27031
VD,2024-01-02T06:55:00Z,27306
VD,2024-01-02T07:00:00Z,28004
VD,2024-01-02T07:05:00Z,28496
VD,2024-01-02T07:10:00Z,28732
VD,2024-01-02T07:15:00Z,28990
VD,2024-01-02T07:20:00Z,29394
VD,2024-01-02T07:25:00Z,29663
VD,2024-01-02T07:30:00Z,29814
VD,2024-01-02T07:35:00Z,30075
VD,2024-01-02T07:40:00Z,30239
VD,2024-01-02T07:45:00Z,30304
VD,2024-01-02T07:50:00Z,30455
VD,2024-01-02T07:55:00Z,30492
VD,2024-01-02T08:00:00Z,30936
VD,2024-01-02T08:05:00Z,31745
VD,2024-01-02T08:10:00Z,31766
VD,2024-01-02T08:15:00Z,31670
VD,2024-01-02T08:20:00Z,32215
VD,2024-01-02T08:25:00Z,32489
VD,2024-01-02T08:30:00Z,32757
VD,2024-01-02T08:35:00Z,33101
VD,2024-01-02T08:40:00Z,33501
VD,2024-01-02T08:45:00Z,33782
VD,2024-01-02T08:50:00Z,34005
VD,2024-01-02T08:55:00Z,34203
VD,2024-01-02T09:00:00Z,34493
VD,2024-01-02T09:05:00Z,34843
VD,2024-01-02T09:10:00Z,35042
VD,2024-01-02T09:15:00Z,35152
VD,2024-01-02T09:20:00Z,35122
VD,2024-01-02T09:25:00Z,35219
VD,2024-01-02T09:30:00Z,35415
VD,2024-01-02T09:35:00Z,35448
VD,2024-01-02T09:40:00Z,35578
VD,2024-01-02T09:45:00Z,35887
VD,2024-01-02T09:50:00Z,35998
VD,2024-01-02T09:55:00Z,36021
VD,2024-01-02T10:00:00Z,36083
VD,2024-01-02T10:05:00Z,36147
VD,2024-01-02T10:10:00Z,36253
VD,2024-01-02T10:15:00Z,36259
VD,2024-01-02T10:20:00Z,36225
VD,2024-01-02T10:25:00Z,36213
VD,2024-01-02T10:30:00Z,36303
VD,2024-01-02T10:35:00Z,36290
VD,2024-01-02T10:40:00Z,36349
VD,2024-01-02T10:45:00Z,36458
VD,2024-01-02T10:50:00Z,36491
VD,2024-01-02T10:55:00Z,36511
VD,2024-01-02T11:00:00Z,36656
VD,2024-01-02T11:05:00Z,36578
VD,2024-01-02T11:10:00Z,36450
VD,2024-01-02T11:15:00Z,36453
VD,2024-01-02T11:20:00Z,36425
VD,2024-01-02T11:25:00Z,36356
VD,2024-01-02T11:30:00Z,36497
VD,2024-01-02T11:35:00Z,36827
VD,2024-01-02T11:40:00Z,37070
VD,2024-01-02T11:45:00Z,37386
VD,2024-01-02T11:50:00Z,37505
VD,2024-01-02T11:55:00Z,37512
VD,2024-01-02T12:00:00Z,37415
VD,2024-01-02T12:05:00Z,37480
VD,2024-01-02T12:10:00Z,37489
VD,2024-01-02T12:15:00Z,37609
VD,2024-01-02T12:20:00Z,37758
VD,2024-01-02T12:25:00Z,37782
VD,2024-01-02T12:30:00Z,37872
VD,2024-01-02T12:35:00Z,37886
VD,2024-01-02T12:40:00Z,37696
VD,2024-01-02T12:45:00Z,37504
VD,2024-01-02T12:50:00Z,37299
VD,2024-01-02T12:55:00Z,37099
VD,2024-01-02T13:00:00Z,37350
VD,2024-01-02T13:05:00Z,37484
VD,2024-01-02T13:10:00Z,37442
VD,2024-01-02T13:15:00Z,37135
VD,2024-01-02T13:20:00Z,36994
VD,2024-01-02T13:25:00Z,36851
VD,2024-01-02T13:30:00Z,36817
VD,2024-01-02T13:35:00Z,36718
VD,2024-01-02T13:40:00Z,36702
VD,2024-01-02T13:45:00Z,36771
VD,2024-01-02T13:50:00Z,36675
VD,2024-01-02T13:55:00Z,36585
VD,2024-01-02T14:00:00Z,36490
VD,2024-01-02T14:05:00Z,36438
VD,2024-01-02T14:10:00Z,36164
VD,2024-01-02T14:15:00Z,36154
VD,2024-01-02T14:20:00Z,36213
VD,2024-01-02T14:25:00Z,36250
VD,2024-01-02T14:30:00Z,36396
VD,2024-01-02T14:35:00Z,36267
VD,2024-01-02T14:40:00Z,36248
VD,2024-01-02T14:45:00Z,36231
VD,2024-01-02T14:50:00Z,36281
VD,2024-01-02T14:55:00Z,36246
VD,2024-01-02T15:00:00Z,36688
VD,2024-01-02T15:05:00Z,36925
VD,2024-01-02T15:10:00Z,36905
VD,2024-01-02T15:15:00Z,36854
VD,2024-01-02T15:20:00Z,36898
VD,2024-01-02T15:25:00Z,37033
VD,2024-01-02T15:30:00Z,37106
VD,2024-01-02T15:35:00Z,37249
VD,2024-01-02T15:40:00Z,37261
VD,2024-01-02T15:45:00Z,37353
VD,2024-01-02T15:50:00Z,37440
VD,2024-01-02T15:55:00Z,37507
VD,2024-01-02T16:00:00Z,37674
VD,2024-01-02T16:05:00Z,37762
VD,2024-01-02T16:10:00Z,37875
VD,2024-01-02T16:15:00Z,37953
VD,2024-01-02T16:20:00Z,38073
VD,2024-01-02T16:25:00Z,38193
VD,2024-01-02T16:30:00Z,38376
VD,2024-01-02T16:35:00Z,38703
VD,2024-01-02T16:40:00Z,39012
VD,2024-01-02T16:45:00Z,38989
VD,2024-01-02T16:50:00Z,39224
VD,2024-01-02T16:55:00Z,39120
VD,2024-01-02T17:00:00Z,39528
VD,2024-01-02T17:05:00Z,39770
VD,2024-01-02T17:10:00Z,39998
VD,2024-01-02T17:15:00Z,40144
VD,2024-01-02T17:20:00Z,40275
VD,2024-01-02T17:25:00Z,40125
VD,2024-01-02T17:30:00Z,40135
VD,2024-01-02T17:35:00Z,40162
VD,2024-01-02T17:40:00Z,40023
VD,2024-01-02T17:45:00Z,39933
VD,2024-01-02T17:50:00Z,39875
VD,2024-01-02T17:55:00Z,39711
VD,2024-01-02T18:00:00Z,39605
VD,2024-01-02T18:05:00Z,39516
VD,2024-01-02T18:10:00Z,39321
VD,2024-01-02T18:15:00Z,39117
VD,2024-01-02T18:20:00Z,38957
VD,2024-01-02T18:25:00Z,38851
VD,2024-01-02T18:30:00Z,38708
VD,2024-01-02T18:35:00Z,38450
VD,2024-01-02T18:40:00Z,38171
VD,2024-01-02T18:45:00Z,38145
VD,2024-01-02T18:50:00Z,37810
VD,2024-01-02T18:55:00Z,37509
VD,2024-01-02T19:00:00Z,37277
VD,2024-01-02T19:05:00Z,37164
VD,2024-01-02T19:10:00Z,36852
VD,2024-01-02T19:15:00Z,36654
VD,2024-01-02T19:20:00Z,36438
VD,2024-01-02T19:25:00Z,36177
VD,2024-01-02T19:30:00Z,36027
VD,2024-01-02T19:35:00Z,35763
VD,2024-01-02T19:40:00Z,35526
VD,2024-01-02T19:45:00Z,35408
VD,2024-01-02T19:50:00Z,35229
VD,2024-01-02T19:55:00Z,35002
VD,2024-01-02T20:00:00Z,34817
VD,2024-01-02T20:05:00Z,34725
VD,2024-01-02T20:10:00Z,34507
VD,2024-01-02T20:15:00Z,34225
VD,2024-01-02T20:20:00Z,34048
VD,2024-01-02T20:25:00Z,33824
VD,2024-01-02T20:30:00Z,33883
VD,2024-01-02T20:35:00Z,33801
VD,2024-01-02T20:40:00Z,33710
VD,2024-01-02T20:45:00Z,33576
VD,2024-01-02T20:50:00Z,33307
VD,2024-01-02T20:55:00Z,33116
VD,2024-01-02T21:00:00Z,32848
VD,2024-01-02T21:05:00Z,32417
VD,2024-01-02T21:10:00Z,32087
VD,2024-01-02T21:15:00Z,31925
VD,2024-01-02T21:20:00Z,31598
VD,2024-01-02T21:25:00Z,31482
VD,2024-01-02T21:30:00Z,31434
VD,2024-01-02T21:35:00Z,31272
VD,2024-01-02T21:40:00Z,31057
VD,2024-01-02T21:45:00Z,30864
VD,2024-01-02T21:50:00Z,30486
VD,2024-01-02T21:55:00Z,30075
VD,2024-01-02T22:00:00Z,30010
VD,2024-01-02T22:05:00Z,29921
VD,2024-01-02T22:10:00Z,29606
VD,2024-01-02T22:15:00Z,29417
VD,2024-01-02T22:20:00Z,29206
VD,2024-01-02T22:25:00Z,28997
VD,2024-01-02T22:30:00Z,28493
VD,2024-01-02T22:35:00Z,28178
VD,2024-01-02T22:40:00Z,27909
VD,2024-01-02T22:45:00Z,27620
VD,2024-01-02T22:50:00Z,27347
VD,2024-01-02T22:55:00Z,26993
VD,2024-01-02T23:00:00Z,26235
VD,2024-01-02T23:05:00Z,26193
VD,2024-01-02T23:10:00Z,26181
VD,2024-01-02T23:15:00Z,26065
VD,2024-01-02T23:20:00Z,26056
VD,2024-01-02T23:25:00Z,26004
VD,2024-01-02T23:30:00Z,25960
VD,2024-01-02T23:35:00Z,26039
VD,2024-01-02T23:40:00Z,26048
VD,2024-01-02T23:45:00Z,25791
VD,2024-01-02T23:50:00Z,25692
VD,2024-01-02T23:55:00Z,25659
VD,2024-01-03T00:00:00Z,26008
VD,2024-01-03T00:05:00Z,25990
VD,2024-01-03T00:10:00Z,25969
VD,2024-01-03T00:15:00Z,25987
VD,2024-01-03T00:20:00Z,25962
VD,2024-01-03T00:25:00Z,25903
VD,2024-01-03T00:30:00Z,25997
VD,2024-01-03T00:35:00Z,26121
VD,2024-01-03T00:40:00Z,26049
VD,2024-01-03T00:45:00Z,25928
VD,2024-01-03T00:50:00Z,25796
VD,2024-01-03T00:55:00Z,25729
VD,2024-01-03T01:00:00Z,25762
VD,2024-01-03T01:05:00Z,25735
VD,2024-01-03T01:10:00Z,25784
VD,2024-01-03T01:15:00Z,25731
VD,2024-01-03T01:20:00Z,25609
VD,2024-01-03T01:25:00Z,25619
VD,2024-01-03T01:30:00Z,25661
VD,2024-01-03T01:35:00Z,25686
VD,2024-01-03T01:40:00Z,25720
VD,2024-01-03T01:45:00Z,25743
VD,2024-01-03T01:50:00Z,25614
VD,2024-01-03T01:55:00Z,25464
VD,2024-01-03T02:00:00Z,25237
VD,2024-01-03T02:05:00Z,25154
VD,2024-01-03T02:10:00Z,25071
VD,2024-01-03T02:15:00Z,24942
VD,2024-01-03T02:20:00Z,24759
VD,2024-01-03T02:25:00Z,24703
VD,2024-01-03T02:30:00Z,24798
VD,2024-01-03T02:35:00Z,24834
VD,2024-01-03T02:40:00Z,24793
VD,2024-01-03T02:45:00Z,24798
VD,2024-01-03T02:50:00Z,24764
VD,2024-01-03T02:55:00Z,24695
VD,2024-01-03T03:00:00Z,24774
VD,2024-01-03T03:05:00Z,24858
VD,2024-01-03T03:10:00Z,24820
VD,2024-01-03T03:15:00Z,24749
VD,2024-01-03T03:20:00Z,24724
VD,2024-01-03T03:25:00Z,24699
VD,2024-01-03T03:30:00Z,24641
VD,2024-01-03T03:35:00Z,24581
VD,2024-01-03T03:40:00Z,24474
VD,2024-01-03T03:45:00Z,24301
VD,2024-01-03T03:50:00Z,24249
VD,2024-01-03T03:55:00Z,24186
VD,2024-01-03T04:00:00Z,24178
VD,2024-01-03T04:05:00Z,24186
VD,2024-01-03T04:10:00Z,24240
VD,2024-01-03T04:15:00Z,24320
VD,2024-01-03T04:20:00Z,24369
VD,2024-01-03T04:25:00Z,24420
VD,2024-01-03T04:30:00Z,24499
VD,2024-01-03T04:35:00Z,24584
VD,2024-01-03T04:40:00Z,24559
VD,2024-01-03T04:45:00Z,24542
VD,2024-01-03T04:50:00Z,24582
VD,2024-01-03T04:55:00Z,24560
VD,2024-01-03T05:00:00Z,24503
VD,2024-01-03T05:05:00Z,24584
VD,2024-01-03T05:10:00Z,24621
VD,2024-01-03T05:15:00Z,24539
VD,2024-01-03T05:20:00Z,24512
VD,2024-01-03T05:25:00Z,24548
VD,2024-01-03T05:30:00Z,24670
VD,2024-01-03T05:35:00Z,24802
VD,2024-01-03T05:40:00Z,24840
VD,2024-01-03T05:45:00Z,24904
VD,2024-01-03T05:50:00Z,25133
VD,2024-01-03T05:55:00Z,25619
VD,2024-01-03T06:00:00Z,26273
VD,2024-01-03T06:05:00Z,26061
VD,2024-01-03T06:10:00Z,26706
VD,2024-01-03T06:15:00Z,27083
VD,2024-01-03T06:20:00Z,27433
VD,2024-01-03T06:25:00Z,27675
VD,2024-01-03T06:30:00Z,28022
VD,2024-01-03T06:35:00Z,28416
VD,2024-01-03T06:40:00Z,28786
VD,2024-01-03T06:45:00Z,29122
VD,2024-01-03T06:50:00Z,29504
VD,2024-01-03T06:55:00Z,29810
VD,2024-01-03T07:00:00Z,30224
VD,2024-01-03T07:05:00Z,30648
VD,2024-01-03T07:10:00Z,30971
VD,2024-01-03T07:15:00Z,31183
VD,2024-01-03T07:20:00Z,31408
VD,2024-01-03T07:25:00Z,31641
VD,2024-01-03T07:30:00Z,31642
VD,2024-01-03T07:35:00Z,31854
VD,2024-01-03T07:40:00Z,32377
VD,2024-01-03T07:45:00Z,32726
VD,2024-01-03T07:50:00Z,32934
VD,2024-01-03T07:55:00Z,32958
VD,2024-01-03T08:00:00Z,33311
VD,2024-01-03T08:05:00Z,33665
VD,2024-01-03T08:10:00Z,33906
VD,2024-01-03T08:15:00Z,34161
VD,2024-01-03T08:20:00Z,34348
VD,2024-01-03T08:25:00Z,34555
VD,2024-01-03T08:30:00Z,34799
VD,2024-01-03T08:35:00Z,34811
VD,2024-01-03T08:40:00Z,34975
VD,2024-01-03T08:45:00Z,35094
VD,2024-01-03T08:50:00Z,35121
VD,2024-01-03T08:55:00Z,35126
VD,2024-01-03T09:00:00Z,35398
VD,2024-01-03T09:05:00Z,35362
VD,2024-01-03T09:10:00Z,35263
VD,2024-01-03T09:15:00Z,35216
VD,2024-01-03T09:20:00Z,35268
VD,2024-01-03T09:25:00Z,35297
VD,2024-01-03T09:30:00Z,35562
VD,2024-01-03T09:35:00Z,35538
VD,2024-01-03T09:40:00Z,35469
VD,2024-01-03T09:45:00Z,35405
VD,2024-01-03T09:50:00Z,35355
VD,2024-01-03T09:55:00Z,35382
VD,2024-01-03T10:00:00Z,35508
VD,2024-01-03T10:05:00Z,35462
VD,2024-01-03T10:10:00Z,35498
VD,2024-01-03T10:15:00Z,35543
VD,2024-01-03T10:20:00Z,35537
VD,2024-01-03T10:25:00Z,35550
VD,2024-01-03T10:30:00Z,35732
VD,2024-01-03T10:35:00Z,35793
VD,2024-01-03T10:40:00Z,35843
VD,2024-01-03T10:45:00Z,35809
VD,2024-01-03T10:50:00Z,35730
VD,2024-01-03T10:55:00Z,35703
VD,2024-01-03T11:00:00Z,35594
VD,2024-01-03T11:05:00Z,35474
VD,2024-01-03T11:10:00Z,35485
VD,2024-01-03T11:15:00Z,35485
VD,2024-01-03T11:20:00Z,35416
VD,2024-01-03T11:25:00Z,35353
VD,2024-01-03T11:30:00Z,35421
VD,2024-01-03T11:35:00Z,35422
VD,2024-01-03T11:40:00Z,35373
VD,2024-01-03T11:45:00Z,35455
VD,2024-01-03T11:50:00Z,35485
VD,2024-01-03T11:55:00Z,35562
VD,2024-01-03T12:00:00Z,35769
VD,2024-01-03T12:05:00Z,35967
VD,2024-01-03T12:10:00Z,36093
VD,2024-01-03T12:15:00Z,36113
VD,2024-01-03T12:20:00Z,36210
VD,2024-01-03T12:25:00Z,36137
VD,2024-01-03T12:30:00Z,36432
VD,2024-01-03T12:35:00Z,36443
VD,2024-01-03T12:40:00Z,36514
VD,2024-01-03T12:45:00Z,36395
VD,2024-01-03T12:50:00Z,36211
VD,2024-01-03T12:55:00Z,36219
VD,2024-01-03T13:00:00Z,36126
VD,2024-01-03T13:05:00Z,35691
VD,2024-01-03T13:10:00Z,36035
VD,2024-01-03T13:15:00Z,36053
VD,2024-01-03T13:20:00Z,36029
VD,2024-01-03T13:25:00Z,36006
VD,2024-01-03T13:30:00Z,36156
VD,2024-01-03T13:35:00Z,36099
VD,2024-01-03T13:40:00Z,36176
VD,2024-01-03T13:45:00Z,36134
VD,2024-01-03T13:50:00Z,36107
VD,2024-01-03T13:55:00Z,36073
VD,2024-01-03T14:00:00Z,36102
VD,2024-01-03T14:05:00Z,36302
VD,2024-01-03T14:10:00Z,36370
VD,2024-01-03T14:15:00Z,36436
VD,2024-01-03T14:20:00Z,36462
VD,2024-01-03T14:25:00Z,36503
VD,2024-01-03T14:30:00Z,36419
VD,2024-01-03T14:35:00Z,36361
VD,2024-01-03T14:40:00Z,36461
VD,2024-01-03T14:45:00Z,36629
VD,2024-01-03T14:50:00Z,36764
VD,2024-01-03T14:55:00Z,36649
VD,2024-01-03T15:00:00Z,36920
VD,2024-01-03T15:05:00Z,37111
VD,2024-01-03T15:10:00Z,37201
VD,2024-01-03T15:15:00Z,37184
VD,2024-01-03T15:20:00Z,37291
VD,2024-01-03T15:25:00Z,37416
VD,2024-01-03T15:30:00Z,37619
VD,2024-01-03T15:35:00Z,37782
VD,2024-01-03T15:40:00Z,37932
VD,2024-01-03T15:45:00Z,38078
VD,2024-01-03T15:50:00Z,38158
VD,2024-01-03T15:55:00Z,38408
VD,2024-01-03T16:00:00Z,38789
VD,2024-01-03T16:05:00Z,38979
VD,2024-01-03T16:10:00Z,39165
VD,2024-01-03T16:15:00Z,39438
VD,2024-01-03T16:20:00Z,39656
VD,2024-01-03T16:25:00Z,40130
VD,2024-01-03T16:30:00Z,40237
VD,2024-01-03T16:35:00Z,40078
VD,2024-01-03T16:40:00Z,40097
VD,2024-01-03T16:45:00Z,40219
VD,2024-01-03T16:50:00Z,40338
VD,2024-01-03T16:55:00Z,40422
VD,2024-01-03T17:00:00Z,40556
VD,2024-01-03T17:05:00Z,40306
VD,2024-01-03T17:10:00Z,40425
VD,2024-01-03T17:15:00Z,40471
VD,2024-01-03T17:20:00Z,40593
VD,2024-01-03T17:25:00Z,40706
VD,2024-01-03T17:30:00Z,40705
VD,2024-01-03T17:35:00Z,40698
VD,2024-01-03T17:40:00Z,40667
VD,2024-01-03T17:45:00Z,40628
VD,2024-01-03T17:50:00Z,40545
VD,2024-01-03T17:55:00Z,40461
VD,2024-01-03T18:00:00Z,40543
VD,2024-01-03T18:05:00Z,40642
VD,2024-01-03T18:10:00Z,40585
VD,2024-01-03T18:15:00Z,40486
VD,2024-01-03T18:20:00Z,40289
VD,2024-01-03T18:25:00Z,40047
VD,2024-01-03T18:30:00Z,39868
VD,2024-01-03T18:35:00Z,39576
VD,2024-01-03T18:40:00Z,39367
VD,2024-01-03T18:45:00Z,39249
VD,2024-01-03T18:50:00Z,38999
VD,2024-01-03T18:55:00Z,38653
VD,2024-01-03T19:00:00Z,38442
VD,2024-01-03T19:05:00Z,38367
VD,2024-01-03T19:10:00Z,38230
VD,2024-01-03T19:15:00Z,38091
VD,2024-01-03T19:20:00Z,37903
VD,2024-01-03T19:25:00Z,37723
VD,2024-01-03T19:30:00Z,37568
VD,2024-01-03T19:35:00Z,37399
VD,2024-01-03T19:40:00Z,37172
VD,2024-01-03T19:45:00Z,36961
VD,2024-01-03T19:50:00Z,36694
VD,2024-01-03T19:55:00Z,36561
VD,2024-01-03T20:00:00Z,36542
VD,2024-01-03T20:05:00Z,36287
VD,2024-01-03T20:10:00Z,36060
VD,2024-01-03T20:15:00Z,35813
VD,2024-01-03T20:20:00Z,35581
VD,2024-01-03T20:25:00Z,35357
VD,2024-01-03T20:30:00Z,35210
VD,2024-01-03T20:35:00Z,35023
VD,2024-01-03T20:40:00Z,34902
VD,2024-01-03T20:45:00Z,34667
VD,2024-01-03T20:50:00Z,34324
VD,2024-01-03T20:55:00Z,34150
VD,2024-01-03T21:00:00Z,33998
VD,2024-01-03T21:05:00Z,33700
VD,2024-01-03T21:10:00Z,33354
VD,2024-01-03T21:15:00Z,33005
VD,2024-01-03T21:20:00Z,32873
VD,2024-01-03T21:25:00Z,32694
VD,2024-01-03T21:30:00Z,32380
VD,2024-01-03T21:35:00Z,32130
VD,2024-01-03T21:40:00Z,31715
VD,2024-01-03T21:45:00Z,31477
VD,2024-01-03T21:50:00Z,31304
VD,2024-01-03T21:55:00Z,31012
VD,2024-01-03T22:00:00Z,30408
VD,2024-01-03T22:05:00Z,29996
VD,2024-01-03T22:10:00Z,29650
VD,2024-01-03T22:15:00Z,29452
VD,2024-01-03T22:20:00Z,29141
VD,2024-01-03T22:25:00Z,28921
VD,2024-01-03T22:30:00Z,28760
VD,2024-01-03T22:35:00Z,28468
VD,2024-01-03T22:40:00Z,28144
VD,2024-01-03T22:45:00Z,27849
VD,2024-01-03T22:50:00Z,27630
